sessions,eventcount,totalusers,conversions,property_id,totalrevenue,sessionmedium,engagementrate,engagedsessions,eventspersession,userengagementduration,date
159,1503,135,0,353783484,0,cpc,0.710691824,113,9.452830189,15395,21/08/23
379,1931,354,0,353783484,0,organic,0.662269129,251,5.094986807,22479,21/08/23
7,21,7,0,353783484,0,Pinpoint,0,0,3,0,21/08/23
20,107,18,0,353783484,0,referral,0.55,11,5.35,813,21/08/23
36,369,32,0,353783484,0,(none),0.527777778,19,10.25,3489,22/08/23
1,1,1,0,353783484,0,(not set),0,0,1,56,22/08/23
147,1150,125,0,353783484,0,cpc,0.666666667,98,7.823129252,9241,22/08/23
354,1829,322,0,353783484,0,organic,0.666666667,236,5.166666667,19844,22/08/23
5,15,5,0,353783484,0,Pinpoint,0,0,3,0,22/08/23
17,106,15,0,353783484,0,referral,0.294117647,5,6.235294118,1293,22/08/23
1,4,1,0,353783484,0,YouTubeVideo,0,0,4,2,22/08/23
61,605,56,0,353783484,0,(none),0.62295082,38,9.918032787,5473,23/08/23
2,2,2,0,353783484,0,(not set),0,0,1,0,23/08/23
126,1039,111,0,353783484,0,cpc,0.682539683,86,8.246031746,9266,23/08/23
333,1893,312,0,353783484,0,organic,0.663663664,221,5.684684685,21800,23/08/23
7,21,7,0,353783484,0,Pinpoint,0,0,3,0,23/08/23
18,113,18,0,353783484,0,referral,0.333333333,6,6.277777778,1271,23/08/23
70,367,63,0,353783484,0,(none),0.542857143,38,5.242857143,2424,24/08/23
2,4,2,0,353783484,0,(not set),0,0,2,14,24/08/23
123,1059,111,0,353783484,0,cpc,0.723577236,89,8.609756098,10357,24/08/23
366,2341,331,0,353783484,0,organic,0.669398907,245,6.396174863,26237,24/08/23
9,27,9,0,353783484,0,Pinpoint,0,0,3,0,24/08/23
17,75,17,0,353783484,0,referral,0.470588235,8,4.411764706,741,24/08/23
42,244,36,0,353783484,0,(none),0.452380952,19,5.80952381,2675,25/08/23
3,3,3,0,353783484,0,(not set),0,0,1,131,25/08/23
121,1130,112,0,353783484,0,cpc,0.710743802,86,9.338842975,10164,25/08/23
412,2374,377,0,353783484,0,organic,0.65776699,271,5.762135922,28846,25/08/23
10,30,10,0,353783484,0,Pinpoint,0,0,3,0,25/08/23
17,74,17,0,353783484,0,referral,0.352941176,6,4.352941176,550,25/08/23
30,191,30,0,353783484,0,(none),0.566666667,17,6.366666667,1428,26/08/23
1,1,1,0,353783484,0,(not set),0,0,1,0,26/08/23
115,1080,100,0,353783484,0,cpc,0.695652174,80,9.391304348,10926,26/08/23
375,1960,349,0,353783484,0,organic,0.664,249,5.226666667,25816,26/08/23
6,18,6,0,353783484,0,Pinpoint,0,0,3,0,26/08/23
