sessions,eventcount,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,eventspersession,userengagementduration,sessiondefaultchannelgrouping,date
418,2148,384,0,353783484,0,0.669856459,280,5.138755981,28454,Organic Search,13/09/23
18,64,17,0,353783484,0,0.222222222,4,3.555555556,128,Organic Social,13/09/23
2,12,2,0,353783484,0,0.5,1,6,30,Organic Video,13/09/23
95,879,79,0,353783484,0,0.663157895,63,9.252631579,9435,Paid Search,13/09/23
2,6,2,0,353783484,0,0.5,1,3,16,Referral,13/09/23
5,53,5,0,353783484,0,0,0,10.6,898,Unassigned,13/09/23
24,184,21,0,353783484,0,0.708333333,17,7.666666667,1220,Cross-network,14/09/23
54,253,46,0,353783484,0,0.462962963,25,4.685185185,1212,Direct,14/09/23
397,2267,363,0,353783484,0,0.659949622,262,5.710327456,26576,Organic Search,14/09/23
9,27,9,0,353783484,0,0,0,3,9,Organic Social,14/09/23
85,856,81,0,353783484,0,0.729411765,62,10.07058824,8471,Paid Search,14/09/23
4,22,3,0,353783484,0,0.5,2,5.5,3685,Referral,14/09/23
9,24,9,0,353783484,0,0,0,2.666666667,415,Unassigned,14/09/23
25,193,20,0,353783484,0,0.72,18,7.72,1598,Cross-network,15/09/23
58,297,48,0,353783484,0,0.413793103,24,5.120689655,2169,Direct,15/09/23
349,1789,329,0,353783484,0,0.696275072,243,5.126074499,21946,Organic Search,15/09/23
9,29,9,0,353783484,0,0.111111111,1,3.222222222,1,Organic Social,15/09/23
81,657,77,0,353783484,0,0.703703704,57,8.111111111,7031,Paid Search,15/09/23
3,12,2,0,353783484,0,0.666666667,2,4,330,Referral,15/09/23
14,46,14,0,353783484,0,0,0,3.285714286,42,Unassigned,15/09/23
16,211,15,0,353783484,0,0.8125,13,13.1875,1181,Cross-network,16/09/23
29,221,27,0,353783484,0,0.689655172,20,7.620689655,2153,Direct,16/09/23
356,1945,338,0,353783484,0,0.674157303,240,5.463483146,22858,Organic Search,16/09/23
13,44,12,0,353783484,0,0.230769231,3,3.384615385,851,Organic Social,16/09/23
68,735,62,0,353783484,0,0.75,51,10.80882353,11064,Paid Search,16/09/23
10,38,10,0,353783484,0,0,0,3.8,334,Unassigned,16/09/23
14,104,9,0,353783484,0,0.357142857,5,7.428571429,819,Cross-network,17/09/23
39,232,37,0,353783484,0,0.41025641,16,5.948717949,1048,Direct,17/09/23
371,2051,352,0,353783484,0,0.684636119,254,5.528301887,25280,Organic Search,17/09/23
10,44,10,0,353783484,0,0.4,4,4.4,142,Organic Social,17/09/23
2,6,2,0,353783484,0,0,0,3,0,Organic Video,17/09/23
65,610,58,0,353783484,0,0.707692308,46,9.384615385,6695,Paid Search,17/09/23
2,17,2,0,353783484,0,1,2,8.5,104,Referral,17/09/23
7,32,7,0,353783484,0,0,0,4.571428571,474,Unassigned,17/09/23
34,335,25,0,353783484,0,0.676470588,23,9.852941176,4168,Cross-network,18/09/23
61,382,53,0,353783484,0,0.62295082,38,6.262295082,3838,Direct,18/09/23
454,2734,416,0,353783484,0,0.698237885,317,6.022026432,30731,Organic Search,18/09/23
11,35,11,0,353783484,0,0.181818182,2,3.181818182,2,Organic Social,18/09/23
117,1121,108,0,353783484,0,0.726495726,85,9.581196581,14321,Paid Search,18/09/23
2,6,2,0,353783484,0,0,0,3,0,Referral,18/09/23
11,31,11,0,353783484,0,0.090909091,1,2.818181818,135,Unassigned,18/09/23
41,350,36,0,353783484,0,0.658536585,27,8.536585366,2875,Cross-network,19/09/23
44,263,38,0,353783484,0,0.568181818,25,5.977272727,1892,Direct,19/09/23
455,2777,414,0,353783484,0,0.696703297,317,6.103296703,32560,Organic Search,19/09/23
14,49,13,0,353783484,0,0.142857143,2,3.5,133,Organic Social,19/09/23
99,957,91,0,353783484,0,0.707070707,70,9.666666667,7920,Paid Search,19/09/23
5,59,5,0,353783484,0,0.8,4,11.8,221,Referral,19/09/23
2,6,2,0,353783484,0,0,0,3,0,Unassigned,19/09/23
23,171,15,0,353783484,0,0.739130435,17,7.434782609,1671,Cross-network,20/09/23
44,399,40,0,353783484,0,0.636363636,28,9.068181818,3184,Direct,20/09/23
440,2663,397,0,353783484,0,0.647727273,285,6.052272727,33551,Organic Search,20/09/23
17,80,14,0,353783484,0,0.352941176,6,4.705882353,356,Organic Social,20/09/23
92,1011,79,0,353783484,0,0.684782609,63,10.98913044,12700,Paid Search,20/09/23
3,19,3,0,353783484,0,0.666666667,2,6.333333333,529,Referral,20/09/23
3,7,3,0,353783484,0,0,0,2.333333333,66,Unassigned,20/09/23
25,326,20,0,353783484,0,0.6,15,13.04,3333,Cross-network,21/09/23
47,369,39,0,353783484,0,0.553191489,26,7.85106383,3283,Direct,21/09/23
432,2638,392,0,353783484,0,0.652777778,282,6.106481481,31920,Organic Search,21/09/23
